2026-05-04 01:29:29,702 - __main__ - INFO - Starting Trading Bot for BTC/USDT on 1m timeframe
2026-05-04 01:29:30,120 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:29:30,381 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:29:40,714 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:29:41,022 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:29:51,290 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:29:51,550 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:01,821 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:02,081 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:12,459 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:12,720 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:23,006 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:23,276 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:33,546 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:33,860 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:44,126 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:44,389 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:54,655 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:30:54,913 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:05,179 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:05,440 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:15,710 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:15,974 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:26,287 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:26,554 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:36,823 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:37,088 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:47,360 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:47,623 - bot.exchange - ERROR - Error fetching OHLCV for BTC/USDT: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2026-05-04 01:31:57,893 - bot.exchange - ERROR - Error fetching balance: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
